
law,company,full_text,link
FTC Act and 2012 privacy order,Facebook (Meta Platforms),"Facebook deceived users about their ability to control the privacy of their personal information and engaged in “unfair and deceptive” practices that violated a 2012 FTC privacy order.  The 2019 FTC press release states that Facebook improperly shared user data, including the Cambridge Analytica scandal, and misrepresented the extent of its controls.  The settlement required Facebook to pay a record-breaking $5 billion penalty and imposed new restrictions, including creating an independent privacy committee, appointing compliance officers, requiring independent third-party assessments, and limiting its use of phone numbers for advertising.  The order also imposed strict data‑security and privacy requirements for at least 20 years and mandated quarterly certifications that the company is in compliancehttps://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions-facebook#:~:text=FTC%20Imposes%20%245%20Billion%20Penalty,New%20Privacy%20Restrictions%20on%20Facebookhttps://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions-facebook#:~:text=independent%20assessor%2C%20as%20well%20as,company%E2%80%99s%20discovery%20of%20the%20incident.",https://www.ftc.gov/news-events/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions-facebook
FTC Act and 2011 order,Twitter,"The FTC charged Twitter with violating a 2011 privacy order and the FTC Act by deceptively using phone numbers and email addresses collected for account security to target advertising.  According to the 2022 FTC press release, Twitter asked users to provide phone numbers or email addresses for multi-factor authentication but then used that information to sell targeted ads.  Twitter had promised users it would not use the information for advertising but broke that promise.  The company agreed to pay a $150 million penalty and implement a comprehensive privacy and information security program, including regular assessments and reporting to the FTChttps://www.ftc.gov/news-events/news/press-releases/2022/05/ftc-charges-twitter-deceptively-using-account-security-data-sell-targeted-ads#:~:text=FTC%20Charges%20Twitter%20with%20Deceptively,Data%20to%20Sell%20Targeted%20Ads.",https://www.ftc.gov/news-events/news/press-releases/2022/05/ftc-justice-department-order-twitter-pay-150-million-violating-2011-ftc-order-misrepresenting
Children’s Online Privacy Protection Act (COPPA),Google/YouTube,"The FTC and New York Attorney General filed a complaint against Google and its YouTube subsidiary alleging that the companies illegally collected personal information from children without notifying parents or obtaining consent as required by COPPA.  According to the FTC’s 2019 press release, YouTube illegally gathered data using persistent identifiers on child-directed channels and used it to deliver targeted ads.  The settlement imposed a record $170 million penalty – $136 million to the FTC and $34 million to New York – and required YouTube to develop a system for channel owners to flag child-directed content, notify parents and obtain verifiable consent before collecting data, and implement COPPA compliance traininghttps://www.ftc.gov/news-events/news/press-releases/2019/09/google-youtube-will-pay-record-170-million-alleged-violations-childrens-privacy-law#:~:text=Google%20and%20YouTube%20Will%20Pay,Violations%20of%20Children%E2%80%99s%20Privacy%20Law.",https://www.ftc.gov/news-events/press-releases/2019/09/google-youtube-pay-record-170-million-penalty-alleged-violations-coppa
Children’s Online Privacy Protection Act (COPPA),TikTok/Musical.ly,"In 2019 the FTC reached a settlement with the operators of the video‑sharing app Musical.ly (now TikTok) for violating COPPA by collecting personal information from children under 13 without parental consent.  The complaint alleged that the app allowed children to create accounts and post videos publicly without adequate notice or parental verification.  It also failed to honor requests to delete children’s personal information.  The FTC’s blog post noted that Musical.ly defaulted accounts to public, permitted adults to contact minors through direct messages, and allowed the collection of names, email addresses and other details.  The settlement required the company to pay $5.7 million, the largest civil penalty under COPPA at that time, delete data collected from children, and comply with COPPA going forwardhttps://www.ftc.gov/business-guidance/blog/2019/02/largest-ftc-coppa-settlement-requires-musically-change-its-tune#:~:text=Largest%20FTC%20COPPA%20settlement%20requires,ly%20to%20change%20its%20tune.",https://www.ftc.gov/news-events/blogs/business-blog/2019/02/largest-ftc-coppa-settlement-requires-musically-change-its-tune
Section 5 of the FTC Act (deception) and privacy misrepresentations,Cambridge Analytica (and associated parties),"The FTC filed an administrative complaint against Cambridge Analytica, former CEO Alexander Nix, and app developer Aleksandr Kogan for deceiving Facebook users about the collection of personal data.  The complaint alleged they represented that the GSRApp did not collect user names or personal information when in fact it harvested data from tens of millions of Facebook users for voter profiling.  The FTC press release describes that the proposed settlement orders would require Kogan and Nix to delete any data collected and to destroy or delete all models or algorithms derived from it.  They must also provide a certification to the FTC, and any misrepresentations about privacy and confidentiality would constitute future violationshttps://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-sues-cambridge-analytica-settles-former-ceo-app-developer#:~:text=FTC%20Sues%20Cambridge%20Analytica%2C%20Settles,Former%20CEO%20and%20App%20Developer.",https://www.ftc.gov/news-events/press-releases/2019/07/ftc-sends-settlement-agreements-cambridge-analytica-cofounder-kogan-former-ceo-alexander-nix-public
FTC Act – deceptive practices and privacy misrepresentations,Snapchat,"Snapchat settled FTC charges that it deceived consumers by promising that messages would “disappear forever” when in fact recipients could save messages using third‑party applications or by taking screenshots without notification.  The 2014 FTC press release explains that Snapchat also collected user location data and stored video content unencrypted on its servers.  It misrepresented its data collection practices and failed to secure its Find Friends feature, leading to the theft of 4.6 million user names and phone numbers.  Under the settlement, Snapchat agreed not to misrepresent how it maintains the privacy, security or confidentiality of users’ information, implement a comprehensive privacy program, and obtain biennial independent assessments for 20 yearshttps://www.ftc.gov/news-events/news/press-releases/2014/05/snapchat-settles-ftc-charges-promises-disappearing-messages-were-false#:~:text=Snapchat%20Settles%20FTC%20Charges%20That,of%20Disappearing%20Messages%20Were%20False.",https://www.ftc.gov/news-events/press-releases/2014/05/snapchat-settles-ftc-charges-promised-dissapearing-messages-deceived-users
FTC Act – deceptive security claims and unfair practices,Zoom,"The FTC alleged that Zoom misled users by claiming its video‑conferencing platform offered 256‑bit end‑to‑end encryption.  In reality, Zoom kept cryptographic keys that allowed it to access meetings, and it only used 128‑bit encryption.  The complaint also alleged Zoom installed a hidden web server on Apple devices without user consent, which bypassed browser security and persisted even after uninstalling Zoom.  The 2020 FTC press release describes that the proposed settlement prohibited Zoom from misrepresenting its privacy and security practices, required it to implement a comprehensive security program, undergo independent assessments and notify users before making material changes to data practiceshttps://www.ftc.gov/news-events/news/press-releases/2020/11/ftc-requires-zoom-enhance-its-security-practices-part-settlement#:~:text=FTC%20Requires%20Zoom%20to%20Enhance,Practices%20as%20Part%20of%20Settlement.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-approves-final-settlement-prohibiting-zoom-securely-lying-consumers-about-encryption
COPPA and New York General Business Law – failure to verify users and protect minors’ data,Saturn Technologies (Saturn app),"A March 2025 settlement between New York Attorney General Letitia James and Saturn Technologies resolved allegations that the Saturn scheduling app failed to verify users’ age or school affiliation, allowing adults to access high‑schoolers’ schedules.  The press release explains that the company’s “verify school” feature did not actually verify that users attended the school they selected; instead it allowed sign‑ups from any email address.  Investigators also found that Saturn failed to verify users’ age and allowed children under 13 to sign up without parental consent, in violation of COPPA.  The settlement required Saturn to pay $650,000, implement robust age and school verification, delete contact information collected via phonebook syncing, provide parental consent notices, and restrict public display of minors’ scheduleshttps://ag.ny.gov/press-release/2025/attorney-general-james-announces-settlement-app-developer-failing-protect-young#:~:text=Attorney%20General%20James%20Announces%20Settlement,to%20Protect%20Young%20Users%E2%80%99%20Privacy.",https://ag.ny.gov/press-release/2025/mar/ag-james-announces-settlement-saturn-technologies-protect-privacy-students
Texas Capture or Use of Biometric Identifier (CUBI) Act and Deceptive Trade Practices Act,Meta Platforms (Facebook),"On July 30, 2024, Texas Attorney General Ken Paxton announced a $1.4 billion settlement with Meta for unlawfully capturing Texans’ biometric identifiers without consent.  The press release states that Meta’s ‘Tag Suggestions’ feature used facial recognition technology to collect the facial geometry of millions of Texans and stored it indefinitely.  This violated the Texas CUBI Act, which prohibits collecting biometric data without informed consent, and the Deceptive Trade Practices Act.  The settlement requires Meta to pay the penalty over five years, delete all previously collected biometric data, and obtain informed consent before capturing biometric identifiershttps://www.texasattorneygeneral.gov/news/releases/attorney-general-ken-paxton-secures-14-billion-settlement-meta-over-its-unauthorized-capture#:~:text=July%2030%2C%202024%20,Release.",https://www.texasattorneygeneral.gov/news/releases/ag-paxton-announces-historic-settlement-recovering-14-billion-texas-fight-biometric-privacy
Fair Housing Act (discrimination in housing ads),Meta Platforms (Facebook),"The U.S. Department of Justice filed a complaint in 2022 alleging that Meta’s housing advertising system unlawfully discriminated based on race, color, religion, sex, disability, familial status and national origin.  The complaint claimed Meta allowed advertisers to target housing ads to users based on protected characteristics using its “Special Ad Audience” tool.  On June 27, 2022, the parties reached a settlement requiring Meta to discontinue the tool, develop a “Variance Reduction System” to reduce disparities, pay a civil penalty of $115,054, and subject itself to DOJ monitoring.  The DOJ press release emphasised that the Fair Housing Act prohibits discrimination in housing advertising and that the settlement will ensure equitable accesshttps://www.justice.gov/crt/case/united-states-v-meta-platforms-inc-fka-facebook-inc-sdny.",https://www.justice.gov/opa/pr/justice-department-secures-groundbreaking-agreement-meta-platforms-remedy-acts-discrimination
